"dateTime","wtr_0.5"
2019-08-06 20:30:00,6.921
2019-08-06 21:00:00,6.834
2019-08-06 21:30:00,6.834
2019-08-06 22:00:00,6.757
2019-08-06 22:30:00,6.544
2019-08-06 23:00:00,6.534
2019-08-06 23:30:00,6.582
2019-08-07 00:00:00,6.621
2019-08-07 00:30:00,6.66
2019-08-07 01:00:00,6.631
2019-08-07 01:30:00,6.65
2019-08-07 02:00:00,6.708
2019-08-07 02:30:00,6.814
2019-08-07 03:00:00,6.863
2019-08-07 03:30:00,6.959
2019-08-07 04:00:00,7.055
2019-08-07 04:30:00,7.046
2019-08-07 05:00:00,7.055
2019-08-07 05:30:00,6.949
2019-08-07 06:00:00,6.573
2019-08-07 06:30:00,6.505
2019-08-07 07:00:00,6.611
2019-08-07 07:30:00,6.872
2019-08-07 08:00:00,6.969
2019-08-07 08:30:00,7.324
2019-08-07 09:00:00,7.161
2019-08-07 09:30:00,7.199
2019-08-07 10:00:00,6.834
2019-08-07 10:30:00,6.766
2019-08-07 11:00:00,6.679
2019-08-07 11:30:00,6.553
2019-08-07 12:00:00,6.515
2019-08-07 12:30:00,6.602
2019-08-07 13:00:00,6.466
2019-08-07 13:30:00,6.447
2019-08-07 14:00:00,6.495
2019-08-07 14:30:00,6.602
2019-08-07 15:00:00,6.631
2019-08-07 15:30:00,7.065
2019-08-07 16:00:00,7.103
2019-08-07 16:30:00,6.641
2019-08-07 17:00:00,6.65
2019-08-07 17:30:00,7.285
2019-08-07 18:00:00,7.113
2019-08-07 18:30:00,7.228
2019-08-07 19:00:00,7.209
2019-08-07 19:30:00,6.776
2019-08-07 20:00:00,6.592
2019-08-07 20:30:00,6.621
2019-08-07 21:00:00,6.641
2019-08-07 21:30:00,6.689
2019-08-07 22:00:00,6.67
2019-08-07 22:30:00,6.641
2019-08-07 23:00:00,6.631
2019-08-07 23:30:00,6.786
2019-08-08 00:00:00,6.786
2019-08-08 00:30:00,6.834
2019-08-08 01:00:00,7.276
2019-08-08 01:30:00,6.834
2019-08-08 02:00:00,6.892
2019-08-08 02:30:00,6.805
2019-08-08 03:00:00,6.641
2019-08-08 03:30:00,6.67
2019-08-08 04:00:00,6.582
2019-08-08 04:30:00,6.67
2019-08-08 05:00:00,6.621
2019-08-08 05:30:00,6.795
2019-08-08 06:00:00,7.151
2019-08-08 06:30:00,7.218
2019-08-08 07:00:00,7.19
2019-08-08 07:30:00,7.132
2019-08-08 08:00:00,6.699
2019-08-08 08:30:00,6.699
2019-08-08 09:00:00,6.728
2019-08-08 09:30:00,6.824
2019-08-08 10:00:00,6.699
2019-08-08 10:30:00,6.679
2019-08-08 11:00:00,6.621
2019-08-08 11:30:00,7.026
2019-08-08 12:00:00,6.93
2019-08-08 12:30:00,7.017
2019-08-08 13:00:00,6.553
2019-08-08 13:30:00,6.369
2019-08-08 14:00:00,6.476
2019-08-08 14:30:00,6.476
2019-08-08 15:00:00,6.67
2019-08-08 15:30:00,6.65
2019-08-08 16:00:00,6.602
2019-08-08 16:30:00,6.689
2019-08-08 17:00:00,6.747
2019-08-08 17:30:00,6.66
2019-08-08 18:00:00,6.495
2019-08-08 18:30:00,6.592
2019-08-08 19:00:00,6.456
2019-08-08 19:30:00,6.427
2019-08-08 20:00:00,6.388
2019-08-08 20:30:00,6.456
2019-08-08 21:00:00,6.466
2019-08-08 21:30:00,6.466
2019-08-08 22:00:00,6.466
2019-08-08 22:30:00,6.437
2019-08-08 23:00:00,6.456
2019-08-08 23:30:00,6.495
2019-08-09 00:00:00,6.573
2019-08-09 00:30:00,6.485
2019-08-09 01:00:00,6.515
2019-08-09 01:30:00,6.534
2019-08-09 02:00:00,6.592
2019-08-09 02:30:00,6.641
2019-08-09 03:00:00,6.621
2019-08-09 03:30:00,6.708
2019-08-09 04:00:00,6.795
2019-08-09 04:30:00,6.66
2019-08-09 05:00:00,6.631
2019-08-09 05:30:00,6.602
2019-08-09 06:00:00,6.689
2019-08-09 06:30:00,6.766
2019-08-09 07:00:00,6.814
2019-08-09 07:30:00,6.553
2019-08-09 08:00:00,6.505
2019-08-09 08:30:00,6.515
2019-08-09 09:00:00,6.534
2019-08-09 09:30:00,6.417
2019-08-09 10:00:00,6.466
2019-08-09 10:30:00,6.456
2019-08-09 11:00:00,6.505
2019-08-09 11:30:00,6.447
2019-08-09 12:00:00,6.466
2019-08-09 12:30:00,6.476
2019-08-09 13:00:00,6.466
2019-08-09 13:30:00,6.427
2019-08-09 14:00:00,6.843
2019-08-09 14:30:00,7.036
2019-08-09 15:00:00,6.921
2019-08-09 15:30:00,7.084
2019-08-09 16:00:00,7.036
2019-08-09 16:30:00,7.343
2019-08-09 17:00:00,6.959
2019-08-09 17:30:00,7.007
2019-08-09 18:00:00,7.132
2019-08-09 18:30:00,7.074
2019-08-09 19:00:00,7.074
2019-08-09 19:30:00,7.4
2019-08-09 20:00:00,7.17
2019-08-09 20:30:00,7.084
2019-08-09 21:00:00,7.122
2019-08-09 21:30:00,7.161
2019-08-09 22:00:00,7.218
2019-08-09 22:30:00,7.209
2019-08-09 23:00:00,7.266
2019-08-09 23:30:00,7.371
2019-08-10 00:00:00,7.4
2019-08-10 00:30:00,7.505
2019-08-10 01:00:00,7.467
2019-08-10 01:30:00,7.658
2019-08-10 02:00:00,7.6
2019-08-10 02:30:00,7.781
2019-08-10 03:00:00,8.018
2019-08-10 03:30:00,7.904
2019-08-10 04:00:00,7.971
2019-08-10 04:30:00,7.876
2019-08-10 05:00:00,8.075
2019-08-10 05:30:00,8.122
2019-08-10 06:00:00,8.084
2019-08-10 06:30:00,8.018
2019-08-10 07:00:00,7.772
2019-08-10 07:30:00,7.753
2019-08-10 08:00:00,7.753
2019-08-10 08:30:00,7.743
2019-08-10 09:00:00,7.658
2019-08-10 09:30:00,7.638
2019-08-10 10:00:00,7.696
2019-08-10 10:30:00,7.638
2019-08-10 11:00:00,7.61
2019-08-10 11:30:00,7.591
2019-08-10 12:00:00,7.553
2019-08-10 12:30:00,7.534
2019-08-10 13:00:00,7.6
2019-08-10 13:30:00,7.629
2019-08-10 14:00:00,7.6
2019-08-10 14:30:00,7.629
2019-08-10 15:00:00,7.562
2019-08-10 15:30:00,7.61
2019-08-10 16:00:00,7.658
2019-08-10 16:30:00,7.696
2019-08-10 17:00:00,7.648
2019-08-10 17:30:00,7.572
2019-08-10 18:00:00,7.591
2019-08-10 18:30:00,7.448
2019-08-10 19:00:00,7.429
2019-08-10 19:30:00,7.285
2019-08-10 20:00:00,7.18
2019-08-10 20:30:00,7.122
2019-08-10 21:00:00,7.103
2019-08-10 21:30:00,7.046
2019-08-10 22:00:00,7.007
2019-08-10 22:30:00,6.998
2019-08-10 23:00:00,7.007
2019-08-10 23:30:00,6.988
2019-08-11 00:00:00,7.055
2019-08-11 00:30:00,7.113
2019-08-11 01:00:00,7.257
2019-08-11 01:30:00,7.305
2019-08-11 02:00:00,7.122
2019-08-11 02:30:00,7.142
2019-08-11 03:00:00,7.151
2019-08-11 03:30:00,6.795
2019-08-11 04:00:00,6.757
2019-08-11 04:30:00,6.872
2019-08-11 05:00:00,6.959
2019-08-11 05:30:00,7.007
2019-08-11 06:00:00,7.218
2019-08-11 06:30:00,7.496
2019-08-11 07:00:00,7.467
2019-08-11 07:30:00,7.4
2019-08-11 08:00:00,7.055
2019-08-11 08:30:00,7.055
2019-08-11 09:00:00,7.084
2019-08-11 09:30:00,7.19
2019-08-11 10:00:00,7.132
2019-08-11 10:30:00,7.199
2019-08-11 11:00:00,7.017
2019-08-11 11:30:00,6.834
2019-08-11 12:00:00,6.766
2019-08-11 12:30:00,6.795
2019-08-11 13:00:00,6.708
2019-08-11 13:30:00,6.728
2019-08-11 14:00:00,6.757
2019-08-11 14:30:00,6.853
2019-08-11 15:00:00,7.074
2019-08-11 15:30:00,7.103
2019-08-11 16:00:00,6.978
2019-08-11 16:30:00,6.959
2019-08-11 17:00:00,6.786
2019-08-11 17:30:00,6.776
2019-08-11 18:00:00,6.882
2019-08-11 18:30:00,6.969
2019-08-11 19:00:00,6.988
2019-08-11 19:30:00,7.305
2019-08-11 20:00:00,7.122
2019-08-11 20:30:00,7.4
2019-08-11 21:00:00,7.876
2019-08-11 21:30:00,7.238
2019-08-11 22:00:00,6.631
2019-08-11 22:30:00,6.369
2019-08-11 23:00:00,6.379
2019-08-11 23:30:00,7.534
2019-08-12 00:00:00,7.847
2019-08-12 00:30:00,7.857
2019-08-12 01:00:00,7.8
2019-08-12 01:30:00,7.743
2019-08-12 02:00:00,7.753
2019-08-12 02:30:00,7.705
2019-08-12 03:00:00,7.619
2019-08-12 03:30:00,7.18
2019-08-12 04:00:00,6.901
2019-08-12 04:30:00,6.843
2019-08-12 05:00:00,6.93
2019-08-12 05:30:00,7.41
2019-08-12 06:00:00,7.19
2019-08-12 06:30:00,7.419
2019-08-12 07:00:00,7.391
2019-08-12 07:30:00,7.629
2019-08-12 08:00:00,7.4
2019-08-12 08:30:00,7.629
2019-08-12 09:00:00,7.074
2019-08-12 09:30:00,7.343
2019-08-12 10:00:00,7.285
2019-08-12 10:30:00,7.132
2019-08-12 11:00:00,7.055
2019-08-12 11:30:00,7.036
2019-08-12 12:00:00,7.036
2019-08-12 12:30:00,7.017
2019-08-12 13:00:00,7.007
2019-08-12 13:30:00,6.978
2019-08-12 14:00:00,6.978
2019-08-12 14:30:00,6.921
2019-08-12 15:00:00,6.901
2019-08-12 15:30:00,6.911
2019-08-12 16:00:00,6.911
2019-08-12 16:30:00,6.892
2019-08-12 17:00:00,6.882
2019-08-12 17:30:00,6.805
2019-08-12 18:00:00,6.776
2019-08-12 18:30:00,6.728
2019-08-12 19:00:00,6.679
2019-08-12 19:30:00,6.631
2019-08-12 20:00:00,6.563
2019-08-12 20:30:00,6.495
2019-08-12 21:00:00,6.505
2019-08-12 21:30:00,6.544
2019-08-12 22:00:00,6.602
2019-08-12 22:30:00,6.65
2019-08-12 23:00:00,6.747
2019-08-12 23:30:00,6.843
2019-08-13 00:00:00,6.969
2019-08-13 00:30:00,7.007
2019-08-13 01:00:00,7.151
2019-08-13 01:30:00,7.209
2019-08-13 02:00:00,7.266
2019-08-13 02:30:00,7.4
2019-08-13 03:00:00,7.41
2019-08-13 03:30:00,7.41
2019-08-13 04:00:00,7.553
2019-08-13 04:30:00,7.562
2019-08-13 05:00:00,7.477
2019-08-13 05:30:00,7.362
2019-08-13 06:00:00,7.41
2019-08-13 06:30:00,7.371
2019-08-13 07:00:00,7.362
2019-08-13 07:30:00,7.305
2019-08-13 08:00:00,7.295
2019-08-13 08:30:00,7.103
2019-08-13 09:00:00,7.094
2019-08-13 09:30:00,6.988
2019-08-13 10:00:00,6.959
2019-08-13 10:30:00,6.998
2019-08-13 11:00:00,6.998
2019-08-13 11:30:00,7.046
2019-08-13 12:00:00,7.19
2019-08-13 12:30:00,7.257
